filename;goodforairplane;language;year;genre;country;runtime;rated
Seventh_Son;1;English;2014;Action, Adventure, Fantasy;USA, UK, Canada, China;102 min;PG-13
Welcome_to_Me;0;English;2014;Comedy, Drama;USA;105 min;R
The_Judge;0;English;2014;Drama;USA;141 min;R
Transformers__Age_of_Extinction;0;English;2014;Action, Adventure, Sci-Fi;USA, China;165 min;PG-13
The_Normal_Heart;1;English;2014;Drama;USA;132 min;TV-MA
The_Phantom_Tollbooth;1;English;1970;Family, Adventure, Animation;USA;90 min;G
Andaz_Apna_Apna;1;Hindi;1994;Comedy, Family, Romance;India;160 min;PG
Hotel_Transylvania;1;English;2012;Animation, Comedy, Family;USA;91 min;PG
The_Matrix;1;English;1999;Action, Sci-Fi;USA, Australia;136 min;R
Into_the_Wild;1;English, Danish;2007;Adventure, Biography, Drama;USA;148 min;R
Jerry_Maguire;0;English, American Sign Language;1996;Comedy, Drama, Romance;USA;139 min;R
Lord_of_the_Flies;0;English;1990;Adventure, Drama, Thriller;USA;90 min;R
The_Great_Gatsby;0;English;2013;Drama, Romance;Australia, USA;143 min;PG-13
Inherent_Vice;0;English, Japanese;2014;Crime, Drama, Mystery;USA;148 min;R
Donnie_Darko;1;English;2001;Drama, Mystery, Sci-Fi;USA;113 min;R
Anna_Karenina;1;English;2012;Drama, Romance;UK;129 min;R
American_Gangster;1;English;2007;Biography, Crime, Drama;USA, UK;157 min;R
Full_Metal_Jacket;1;English, Vietnamese;1987;Drama, War;UK, USA;116 min;R
Words_and_Pictures;1;English;2013;Comedy, Drama, Romance;USA;111 min;PG-13
John_Wick;1;English, Russian, Hungarian;2014;Action, Thriller;USA;101 min;R
The_Fault_in_Our_Stars;0;English;2014;Drama, Romance;USA;126 min;PG-13
The_Cobbler;0;English, Yiddish;2014;Comedy, Drama, Fantasy;USA;99 min;PG-13
The_Hobbit__The_Desolation_of_Smaug;1;English;2013;Adventure, Fantasy;USA, New Zealand;161 min;PG-13
Jack_Reacher;0;English;2012;Action, Mystery, Thriller;USA;130 min;PG-13
The_Book_of_Life;1;English, Spanish;2014;Animation, Adventure, Comedy;USA;95 min;PG
Let's_Be_Cops;1;English;2014;Comedy;USA;104 min;R
A_Single_Man;1;English, Spanish;2009;Drama;USA;99 min;R
