filename;tomatorating;imbdrating;metarating
Seventh_Son;2.9;5.5;30
Welcome_to_Me;3.4;6.2;67
The_Judge;3.8;7.5;48
Transformers__Age_of_Extinction;3.3;5.8;32
The_Normal_Heart;4.2;8.0;N/A
The_Phantom_Tollbooth;3.8;7.0;N/A
Andaz_Apna_Apna;4.5;8.8;N/A
Hotel_Transylvania;3.9;7.1;47
The_Matrix;3.6;8.7;73
Into_the_Wild;4.1;8.2;73
Jerry_Maguire;3.3;7.3;77
Lord_of_the_Flies;3.1;6.4;N/A
The_Great_Gatsby;3.7;7.3;55
Inherent_Vice;3.2;6.9;81
Donnie_Darko;3.1;8.1;71
Anna_Karenina;3.2;6.6;63
American_Gangster;4.0;7.8;76
Full_Metal_Jacket;4.1;8.3;78
Words_and_Pictures;3.3;6.6;49
John_Wick;3.9;7.2;68
The_Fault_in_Our_Stars;4.2;8.0;69
The_Cobbler;2.8;5.8;22
The_Hobbit__The_Desolation_of_Smaug;4.1;8.0;66
Jack_Reacher;3.6;7.0;50
The_Book_of_Life;4.0;7.3;67
Let's_Be_Cops;3.4;6.5;30
A_Single_Man;3.8;7.6;77
Casino_Royale;3.9;8.0;81
Ode_to_My_Father;4.3;7.5;N/A
Dirty_Dancing;3.7;6.8;65
V_for_Vendetta;3.9;8.2;62
Brother_Bear;3.3;6.7;48
Babar__The_Movie;3.0;6.2;N/A
The_Parent_Trap;3.1;6.4;64
Bros_Before_Hos;3.1;6.4;N/A
Moulin_Rouge!;3.7;7.7;66
Total_Recall;3.3;7.5;57
American_Pie;3.4;7.0;58
Shakespeare_in_Love;3.4;7.2;87
Bobby_Jasoos;2.6;5.5;N/A
Boogie_Nights;3.6;7.9;85
Excuse_My_French;2.9;8.0;N/A
Chef;4.0;7.3;68
Le_Samourai;4.3;8.1;N/A
The_Lizzie_McGuire_Movie;2.7;5.3;56
Khumba;3.1;5.8;40
A_Fish_Called_Wanda;3.4;7.6;80
Homies;N/A;6.0;N/A
Mulan;3.4;7.5;71
The_Maze_Runner;3.7;6.9;56
Nightcrawler;4.1;7.9;76
Elsa___Fred;4.4;7.6;52
RED;3.7;7.1;60
Khoobsurat;3.5;6.4;N/A
Interstellar;4.2;8.7;74
Night_at_the_Museum__Secret_of_the_Tomb;3.6;6.3;47
The_Hunger_Games;4.1;7.3;67
The_Babadook;3.7;6.9;86
Big_Hero_6;4.3;7.9;74
The_Imitation_Game;4.3;8.1;73
Looney_Tunes__Back_in_Action;2.9;5.7;64
The_Hunger_Games__Catching_Fire;4.3;7.7;75
Hook;3.3;6.7;52
Exodus__Gods_and_Kings;N/A;6.1;52
Invincible;3.6;7.1;63
Some_Like_It_Hot;4.1;8.3;N/A
The_Reader;3.7;7.6;58
The_Birdcage;3.3;6.9;72
The_Theory_of_Everything;4.0;7.8;72
Black_Swan;4.0;8.0;79
Maine_Pyar_Kiya;4.2;7.6;N/A
Still_Alice;4.0;7.5;72
My_Week_with_Marilyn;3.6;7.0;65
Bhoothnath_Returns;3.1;7.0;N/A
Grand_Piano;3.1;5.9;61
Into_the_Woods;3.2;6.1;69
The_Blair_Witch_Project;2.5;6.4;81
Monsters_University;4.0;7.4;65
Mr._Go;2.8;6.3;N/A
This_Is_Where_I_Leave_You;3.5;6.6;44
The_Bourne_Legacy;3.5;6.7;61
Wild_Tales;4.3;8.2;77
The_Dark_Knight;4.4;9.0;82
Predestination;3.7;7.4;69
Robin_Hood;3.5;6.7;53
A_Million_Ways_to_Die_in_the_West;3.0;6.1;44
Drive;3.9;7.8;78
Bronson;3.7;7.1;71
The_Last_Days_on_Mars;2.6;5.5;46
The_Reluctant_Dragon;3.7;7.0;N/A
Live_Nude_Girls;3.2;5.4;N/A
Pulp_Fiction;4.2;8.9;94
Perez;4.2;6.5;N/A
A_Goofy_Movie;3.1;6.8;N/A
Mean_Girls;3.0;7.0;66
